Id,median_house_value
8609,378900.9587956562
14610,172111.02541625383
1557,164325.96090469536
12875,113945.57486923253
17821,199413.3682600823
1701,214038.92950977548
9856,245144.28165262457
9875,171181.89628807516
4924,170036.9671041913
13021,181972.30029753194
6112,108834.48219167348
17149,169982.18169925967
18770,231871.79719366922
18353,295344.6867176394
17605,341300.3178138992
4862,309260.8983650994
10790,304495.55032803386
13463,172981.67711041184
4325,235411.3313721798
12115,231094.25493074508
18658,222139.70829674968
1729,247180.48513296744
16151,446309.49865919503
12551,431367.92743120383
15556,127115.91261795205
12532,121051.92085141179
14750,108007.22381067587
10652,256119.5981272075
15976,278699.76063686196
1423,314179.9957157447
19410,351168.4854183727
11347,185356.78364639325
8651,277732.37976214034
5733,351754.7893651891
17554,208916.43710037603
11636,152935.51871921663
608,201192.2423624224
13836,237372.7177802515
4922,242484.06391623113
18319,238641.16139452322
8038,279391.77453046653
2881,221570.09129468087
7329,301321.32122731826
5886,177312.90810602272
1294,179574.08746173067
159,157351.10556420955
6007,293773.4264240164
1783,100623.65285172187
11358,110826.1919153157
17373,256145.79215933516
3342,125242.00648948898
9364,190173.95539179558
2500,292323.60592352523
4882,290877.88473965216
20099,189616.30157044216
15874,175327.30943024604
18959,168397.40448180272
6618,282420.1789417492
18228,189083.09821445556
1633,240517.70261690932
14956,271026.95869123505
12800,243618.04486455125
416,213071.98391476212
16424,263076.8323787203
15047,211521.88894391982
17904,139455.8858688232
19886,180144.6498643425
9780,284471.3328160879
14862,166987.73739791685
20354,171569.80487948903
9044,241676.66061984512
4871,198264.3018367639
3632,177757.49565337476
3247,257910.26916832896
8528,201775.98109167162
9080,228837.6794899494
10002,361533.6563423362
4461,100896.79778921884
20069,269385.91216009256
8200,165774.05208043338
9230,288478.1398441282
19260,223184.96570837323
14501,289402.1293685316
7345,289168.01762720256
15167,228779.06608146196
12844,234061.11286814435
4193,268746.09716233675
3624,313591.3871448646
13094,186045.97735776266
5097,264744.6556696605
12227,170111.02432538767
16856,156277.925633612
661,244368.96565148505
19231,174952.45620196295
5382,201816.16601708333
5537,375856.7899426609
5211,376850.89883399184
15825,144327.89309917128
4004,177308.83900833473
1275,262934.85269997723
1065,165627.24346290922
5074,146411.5819394496
403,239898.24175138146
18088,115918.34787419434
4024,247825.73039392362
11530,162991.05790226173
9416,257470.21301733752
6542,229556.7456695212
35,126256.16326410594
20278,148494.70093518333
16207,206121.47600595222
10594,204243.85731795584
17333,294943.0167113929
15282,254954.98839654564
19134,224156.33886286002
15220,318276.6917647619
16655,304750.2076572015
5038,224194.92799498874
14367,110879.04552478132
17909,344843.6519634651
7296,114940.97741905751
10674,332427.59329444164
16096,175289.74688913516
15468,197407.89017275444
1626,182228.3026106701
14530,146873.75744660647
6949,245513.26628520002
1130,270380.4517681011
19982,127896.77121017619
5841,240415.0426100217
4830,122873.41225476455
14945,164312.90687382472
14386,259274.77591423786
18110,116138.1747017471
12600,115288.40330139778
8819,194676.78741220117
4529,228961.93653596073
3097,141200.13657349034
12398,301927.9471927195
5724,120028.98144879336
1819,295023.987279921
419,184698.85431517445
20038,252989.99846612342
15536,173430.1258588614
11320,346104.306149104
6607,260388.1867741597
16292,345556.34570130234
8805,169753.593153419
12767,147133.15599438822
4187,209238.22972440792
16221,386462.3009489984
16964,103822.42946877638
225,331306.9588099515
505,334670.2820532898
16741,208307.39744395428
9404,435772.694842411
3917,241722.96554409125
6352,191331.1023635158
4207,212256.97951406924
5115,262151.00758852385
11423,193279.4610852119
9241,167262.8980851034
933,172943.83583933619
2781,205705.22615266903
12764,339571.56863903604
6885,108167.18182804357
5602,292720.39363838837
9861,191440.94435415984
